Company Name,Symbol,ISIN Code
INOX GREEN ENERGY SERVICES LIMITED,INOXGREEN,INE510W01014
PRAJ INDUSTRIES LIMITED,PRAJIND,INE074A01025
RUBICON RESEARCH LIMITED,RUBICON,INE506V01022
SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,SPARC,INE232I01014
PEARL GLOBAL INDUSTRIES LIMITED,PGIL,INE940H01022
ASHAPURA MINECHEM LIMITED,ASHAPURMIN,INE348A01023
WAAREE RENEWABLE TECHNOLOGIES LIMITED,WAAREERTL,INE299N01021
BLUESTONE JEWELLERY AND LIFESTYLE LIMITED,BLUESTONE,INE304W01038
JANA SMALL FINANCE BANK LIMITED,JSFB,INE953L01027
EDELWEISS FINANCIAL SERVICES LIMITED,EDELWEISS,INE532F01054
STRIDES PHARMA SCIENCE LIMITED,STAR,INE939A01011
SHEELA FOAM LIMITED,SFL,INE916U01025
TANLA PLATFORMS LIMITED,TANLA,INE483C01032
INDIAN METALS & FERRO ALLOYS LIMITED,IMFA,INE919H01018
LLOYDS ENTERPRISES LIMITED,LLOYDSENT,INE080I01025
JK LAKSHMI CEMENT LIMITED,JKLAKSHMI,INE786A01032
ION EXCHANGE (INDIA) LIMITED,IONEXCHANG,INE570A01022
TRANSRAIL LIGHTING LIMITED,TRANSRAILL,INE454P01035
AARTI PHARMALABS LIMITED,AARTIPHARM,INE0LRU01027
POWER MECH PROJECTS LIMITED,POWERMECH,INE211R01019
SML MAHINDRA LIMITED,SMLMAH,INE294B01019
ADITYA VISION LIMITED,AVL,INE679V01027
AURIONPRO SOLUTIONS LIMITED,AURIONPRO,INE132H01018
GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,GNFC,INE113A01013
TILAKNAGAR INDUSTRIES LIMITED,TI,INE133E01013
INDO COUNT INDUSTRIES LIMITED,ICIL,INE483B01026
BLACKBUCK LIMITED,BLACKBUCK,INE0UIZ01018
EQUITAS SMALL FINANCE BANK LIMITED,EQUITASBNK,INE063P01018
QUALITY POWER ELECTRICAL EQUIPMENTS LIMITED,QPOWER,INE0SII01026
VARROC ENGINEERING LIMITED,VARROC,INE665L01035
ROUTE MOBILE LIMITED,ROUTE,INE450U01017
OSWAL PUMPS LIMITED,OSWALPUMPS,INE0BYP01024
JYOTHY LABS LIMITED,JYOTHYLAB,INE668F01031
FEDBANK FINANCIAL SERVICES LIMITED,FEDFINA,INE007N01010
BALU FORGE INDUSTRIES LIMITED,BALUFORGE,INE011E01029
HEALTHCARE GLOBAL ENTERPRISES LIMITED,HCG,INE075I01017
ASK AUTOMOTIVE LIMITED,ASKAUTOLTD,INE491J01022
SENCO GOLD LIMITED,SENCO,INE602W01027
EPL LIMITED,EPL,INE255A01020
GUJARAT PIPAVAV PORT LIMITED,GPPL,INE517F01014
JUST DIAL LIMITED,JUSTDIAL,INE599M01018
YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,YATHARTH,INE0JO301016
RATTANINDIA ENTERPRISES LIMITED,RTNINDIA,INE834M01019
SURYA ROSHNI LIMITED,SURYAROSNI,INE335A01020
ATLANTA ELECTRICALS LIMITED,ATLANTAELE,INE0Z4F01028
MRS. BECTORS FOOD SPECIALITIES LIMITED,BECTORFOOD,INE495P01020
ZAGGLE PREPAID OCEAN SERVICES LIMITED,ZAGGLE,INE07K301024
NETWORK18 MEDIA & INVESTMENTS LIMITED,NETWORK18,INE870H01013
CORONA REMEDIES LIMITED,CORONA,INE02ZQ01018
MOIL LIMITED,MOIL,INE490G01020
ARVIND FASHIONS LIMITED,ARVINDFASN,INE955V01021
AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS,INE09XN01023
SAMHI HOTELS LIMITED,SAMHI,INE08U801020
NESCO LIMITED,NESCO,INE317F01035
RELIGARE ENTERPRISES LIMITED,RELIGARE,INE621H01010
INDIA SHELTER FINANCE CORPORATION LIMITED,INDIASHLTR,INE922K01024
SANDUR MANGANESE & IRON ORES LIMITED,SANDUMA,INE149K01016
BANCO PRODUCTS (I) LIMITED,BANCOINDIA,INE213C01025
KAVERI SEED COMPANY LIMITED,KSCL,INE455I01029
GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,GSFC,INE026A01025
KSB LIMITED,KSB,INE999A01023
SKF INDIA LIMITED,SKFINDIA,INE640A01023
PNC INFRATECH LIMITED,PNCINFRA,INE195J01029
RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,RCF,INE027A01015
RELAXO FOOTWEARS LIMITED,RELAXO,INE131B01039
THYROCARE TECHNOLOGIES LIMITED,THYROCARE,INE594H01019
CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED,CRAMC,INE218I01013
EUREKA FORBES LIMITED,EUREKAFORB,INE0KCE01017
RATTANINDIA POWER LIMITED,RTNPOWER,INE399K01017
ELECTROSTEEL CASTINGS LIMITED,ELECTCAST,INE086A01029
METROPOLIS HEALTHCARE LIMITED,METROPOLIS,INE112L01020
RALLIS INDIA LIMITED,RALLIS,INE613A01020
MEDPLUS HEALTH SERVICES LIMITED,MEDPLUS,INE804L01022
GUJARAT AMBUJA EXPORTS LIMITED,GAEL,INE036B01030
ALEMBIC PHARMACEUTICALS LIMITED,APLLTD,INE901L01018
CELLO WORLD LIMITED,CELLO,INE0LMW01024
THOMAS COOK  (INDIA)  LIMITED,THOMASCOOK,INE332A01027
PTC INDIA LIMITED,PTC,INE877F01012
EMBASSY DEVELOPMENTS LIMITED,EMBDL,INE069I01010
KNR CONSTRUCTIONS LIMITED,KNRCON,INE634I01029
ELLENBARRIE INDUSTRIAL GASES LIMITED,ELLEN,INE236E01022
MASTEK LIMITED,MASTEK,INE759A01021
KRBL LIMITED,KRBL,INE001B01026
VIP INDUSTRIES LIMITED,VIPIND,INE054A01027
IIFL CAPITAL SERVICES LIMITED,IIFLCAPS,INE489L01022
AWFIS SPACE SOLUTIONS LIMITED,AWFIS,INE108V01019
HERITAGE FOODS LIMITED,HERITGFOOD,INE978A01027
KITEX GARMENTS LIMITED,KITEX,INE602G01020
SHARDA CROPCHEM LIMITED,SHARDACROP,INE221J01015
CERA SANITARYWARE LIMITED,CERA,INE739E01017
VEDANT FASHIONS LIMITED,MANYAVAR,INE825V01034
GMM PFAUDLER LIMITED,GMMPFAUDLR,INE541A01023
SUBROS LIMITED,SUBROS,INE287B01021
DYNAMATIC TECHNOLOGIES LIMITED,DYNAMATECH,INE221B01012
TSF INVESTMENTS LIMITED,TSFINV,INE202Z01029
SUDEEP PHARMA LIMITED,SUDEEPPHRM,INE0QPI01025
SUNTECK REALTY LIMITED,SUNTECK,INE805D01034
SHREE RENUKA SUGARS LIMITED,RENUKA,INE087H01022
GMR POWER AND URBAN INFRA LIMITED,GMRP&UI,INE0CU601026
ALOK INDUSTRIES LIMITED,ALOKINDS,INE270A01029
WAKEFIT INNOVATIONS LIMITED,WAKEFIT,INE0E7301029
FIEM INDUSTRIES LIMITED,FIEMIND,INE737H01014
HEMISPHERE PROPERTIES INDIA LIMITED,HEMIPROP,INE0AJG01018
NEOGEN CHEMICALS LIMITED,NEOGEN,INE136S01016
GOKUL AGRO RESOURCES LIMITED,GOKULAGRO,INE314T01033
ARCHEAN CHEMICAL INDUSTRIES LIMITED,ACI,INE128X01021
ASHOKA BUILDCON LIMITED,ASHOKA,INE442H01029
VAIBHAV GLOBAL LIMITED,VAIBHAVGBL,INE884A01027
MAHARASHTRA SCOOTERS LIMITED,MAHSCOOTER,INE288A01013
SRI LOTUS DEVELOPERS AND REALTY LIMITED,LOTUSDEV,INE0V9Q01010
THE ANUP ENGINEERING LIMITED,ANUP,INE294Z01018
KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,KRN,INE0Q3J01015
AARTI DRUGS LIMITED,AARTIDRUGS,INE767A01016
CAMPUS ACTIVEWEAR LIMITED,CAMPUS,INE278Y01022
NATIONAL FERTILIZERS LIMITED,NFL,INE870D01012
JK PAPER LIMITED,JKPAPER,INE789E01012
SUDARSHAN CHEMICAL INDUSTRIES LIMITED,SUDARSCHEM,INE659A01023
MAHARASHTRA SEAMLESS LIMITED,MAHSEAMLES,INE271B01025
CRIZAC LIMITED,CRIZAC,INE0S4R01014
VALOR ESTATE LIMITED,DBREALTY,INE879I01012
FINOLEX INDUSTRIES LIMITED,FINPIPE,INE183A01024
RATNAMANI METALS & TUBES LIMITED,RATNAMANI,INE703B01027
GODREJ AGROVET LIMITED,GODREJAGRO,INE850D01014
IFB INDUSTRIES LIMITED,IFBIND,INE559A01017
BAJAJ ELECTRICALS LIMITED,BAJAJELEC,INE193E01025
RAYMOND LIFESTYLE LIMITED,RAYMONDLSL,INE02ID01020
TVS SUPPLY CHAIN SOLUTIONS LIMITED,TVSSCS,INE395N01027
SESHAASAI TECHNOLOGIES LIMITED,STYL,INE04VU01023
ENTERO HEALTHCARE SOLUTIONS LIMITED,ENTERO,INE010601016
SMARTWORKS COWORKING SPACES LIMITED,SMARTWORKS,INE0NAZ01010
DILIP BUILDCON LIMITED,DBL,INE917M01012
BIRLA CORPORATION LIMITED,BIRLACORPN,INE340A01012
H.G. INFRA ENGINEERING LIMITED,HGINFRA,INE926X01010
JAI BALAJI INDUSTRIES LIMITED,JAIBALAJI,INE091G01026
ORKLA INDIA LIMITED,ORKLAINDIA,INE16NZ01023
STAR CEMENT LIMITED,STARCEMENT,INE460H01021
SAATVIK GREEN ENERGY LIMITED,SAATVIKGL,INE13B501022
SAFARI INDUSTRIES (INDIA) LIMITED,SAFARI,INE429E01023
V-GUARD INDUSTRIES LIMITED,VGUARD,INE951I01027
DR. AGARWAL'S HEALTH CARE LIMITED,AGARWALEYE,INE943P01029
KANSAI NEROLAC PAINTS LIMITED,KANSAINER,INE531A01024
WESTLIFE FOODWORLD LIMITED,WESTLIFE,INE274F01020
STYRENIX PERFORMANCE MATERIALS LIMITED,STYRENIX,INE189B01011
GHCL LIMITED,GHCL,INE539A01019
TARC LIMITED,TARC,INE0EK901012
REDTAPE LIMITED,REDTAPE,INE0LXT01019
JUPITER LIFE LINE HOSPITALS LIMITED,JLHL,INE682M01012
ORIENT CEMENT LIMITED,ORIENTCEM,INE876N01018
PRUDENT CORPORATE ADVISORY SERVICES LIMITED,PRUDENT,INE00F201020
SANOFI CONSUMER HEALTHCARE INDIA LIMITED,SANOFICONR,INE0UOS01011
ETHOS LIMITED,ETHOSLTD,INE04TZ01018
PRISM JOHNSON LIMITED,PRSMJOHNSN,INE010A01011
AHLUWALIA CONTRACTS (INDIA) LIMITED,AHLUCONT,INE758C01029
PURAVANKARA LIMITED,PURVA,INE323I01011
SHARE INDIA SECURITIES LIMITED,SHAREINDIA,INE932X01026
CENTURY PLYBOARDS (INDIA) LIMITED,CENTURYPLY,INE348B01021
CAPILLARY TECHNOLOGIES INDIA LIMITED,CAPILLARY,INE0ILV01024
